đầu tư trực tiếp nước ngoài theo ngành 1988-2005					
(tính tới ngày 22/8/2005 - chỉ tính các dự án còn hiệu lực)					
					
STT	Chuyên ngành	Số dự án	TVĐT	Vốn pháp định	Đầu tư thực hiện
Tổng số		490	2237436169	1373460490
Nguồn: Cục Đầu tư nước ngoài - Bộ Kế hoạch và Đầu tư				
				
Cấp mới 8 tháng - 2005 phân theo địa phương				
(tính tới ngày 22/8/2005)				
				
STT	Địa phương	Số dự án	TVĐT	Vốn pháp định
1	Hà Nội 	51	902439619	766236466
2	Đồng Nai 	57	343952700	151269446
3	Bình Dương 	91	212567410	88924000
4	TP Hồ Chí Minh 	148	193308175	70961944
5	Hải Phòng 	12	112459000	41522100
6	Phú Yên 	4	81500000	56200000
7	Đà Nẵng 	9	69500000	30367000
8	Vĩnh Phúc 	13	45387753	23880000
9	Long An 	5	29050000	9635000
10	Tây Ninh 	14	27613639	15833639
11	Tuyên Quang 	1	25000000	5000000
12	Bình Thuận 	4	20970000	8850710
13	Quảng Ninh 	7	20900000	8450000
14	Dầu khí 	1	20000000	20000000
15	Bình Phước 	4	13480000	5798631
16	Thừa Thiên-Huế 	5	12793190	6130190
17	Bà Rịa-Vũng Tàu 	10	12510000	3890000
18	Kon Tum 	2	9900000	7425000
19	Khánh Hòa 	4	9700000	4530000
20	Nghệ An 	3	9200000	7000000
21	Hải Dương 	6	8428048	6328048
22	Hưng Yên 	6	8250000	4733556
23	Bắc Ninh 	4	7035500	2420000
24	Thanh Hóa 	2	6000000	5300000
25	Hà Nam 	2	5200000	1590000
26	Trà Vinh 	1	5000000	5000000
27	Quảng Nam 	1	4995000	2000000
28	Hòa Bình 	2	4159235	2809554
29	Lạng Sơn 	2	2882900	2882900
30	Lào Cai 	5	2520000	2285306
31	Yên Bái 	2	2005000	1199000
32	Bình Định 	2	1550000	1050000
33	Phú Thọ 	1	1500000	500000
34	Đắc Nông 	2	1500000	950000
35	Hà Tây 	2	1250000	419000
36	Cao Bằng 	1	1000000	1000000
37	Lâm Đồng 	1	1000000	300000
38	Bến Tre 	1	500000	500000
39	Đồng Tháp 	1	300000	160000
40	Điện Biên 	1	129000	129000
Tổng số		490	2237436169	1373460490
Nguồn: Cục Đầu tư nước ngoài - Bộ Kế hoạch và Đầu tư				
				
tăng vốn 8 tháng 2005 phân theo ngành				
(tính tới ngày 22/8/2005)				
				
STT	Chuyên ngành	Số lượt	TVĐT tăng	Vốn PĐ tăng
I	Công nghiệp	261	1032206877	348615804
